epoch,train_loss,global_test_acc,global_test_loss,rec_apa,rec_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,w_rn,w_rec,w_pfl,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
88,1.359626,26.770000,2.027404,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3096,3096,0,1904,1904,0.619200,1.000000
89,1.554861,26.950000,2.055549,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2840,2840,0,2160,2160,0.568000,1.000000
90,1.105726,29.470000,2.045357,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3548,3548,0,1452,1452,0.709600,1.000000
91,1.397380,25.070000,2.068120,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2784,2784,0,2216,2216,0.556800,1.000000
92,1.472834,20.690000,2.160596,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2812,2812,0,2188,2188,0.562400,1.000000
93,1.130074,26.470000,2.084901,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3648,3648,0,1352,1352,0.729600,1.000000
94,1.567878,27.420000,2.067991,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2692,2692,0,2308,2308,0.538400,1.000000
95,0.841456,30.990000,1.991868,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,4060,4060,0,940,940,0.812000,1.000000
96,1.032387,32.030000,2.015935,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3888,3888,0,1112,1112,0.777600,1.000000
97,1.813559,25.550000,2.083442,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2108,2108,0,2892,2892,0.421600,1.000000
98,1.237953,25.270000,2.066523,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3424,3424,0,1576,1576,0.684800,1.000000
