epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision
54,1.652527,27.290000,2.031087,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2556,2556,0,2444,2444,0.511200,1.000000,0,0,0.000000
55,1.149160,27.600000,1.997188,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3536,3536,0,1464,1464,0.707200,1.000000,0,0,0.000000
56,1.412753,31.360000,1.979225,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3120,3120,0,1880,1880,0.624000,1.000000,0,0,0.000000
57,1.357385,30.780000,2.006698,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3276,3276,0,1724,1724,0.655200,1.000000,0,0,0.000000
58,1.467139,32.420000,1.954183,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3048,3048,0,1952,1952,0.609600,1.000000,0,0,0.000000
59,1.203367,28.800000,1.977319,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3620,3620,0,1380,1380,0.724000,1.000000,0,0,0.000000
60,1.557565,32.470000,1.995924,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2920,2920,0,2080,2080,0.584000,1.000000,0,0,0.000000
61,1.237603,30.380000,1.998171,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3400,3400,0,1600,1600,0.680000,1.000000,0,0,0.000000
62,1.515035,30.520000,1.995980,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2884,2884,0,2116,2116,0.576800,1.000000,0,0,0.000000
63,1.433809,32.330000,1.959984,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3140,3140,0,1860,1860,0.628000,1.000000,0,0,0.000000
64,1.166728,30.040000,1.950631,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3464,3464,0,1536,1536,0.692800,1.000000,0,0,0.000000
65,1.627288,28.490000,2.027900,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2692,2692,0,2308,2308,0.538400,1.000000,0,0,0.000000
66,1.634255,32.230000,1.982477,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2648,2648,0,2352,2352,0.529600,1.000000,0,0,0.000000
67,1.456221,33.870000,1.959032,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3004,3004,0,1996,1996,0.600800,1.000000,0,0,0.000000
68,1.318763,32.430000,1.962575,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3332,3332,0,1668,1668,0.666400,1.000000,0,0,0.000000
69,1.617700,30.270000,2.009037,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2700,2700,0,2300,2300,0.540000,1.000000,0,0,0.000000
70,1.336270,33.610000,1.945205,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3208,3208,0,1792,1792,0.641600,1.000000,0,0,0.000000
71,1.554450,27.190000,1.995186,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2824,2824,0,2176,2176,0.564800,1.000000,0,0,0.000000
72,1.615238,24.270000,2.041448,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2612,2612,0,2388,2388,0.522400,1.000000,0,0,0.000000
73,1.444721,31.300000,1.994783,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3000,3000,0,2000,2000,0.600000,1.000000,0,0,0.000000
74,1.442697,25.740000,2.036684,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2980,2980,0,2020,2020,0.596000,1.000000,0,0,0.000000
75,1.185453,33.830000,1.928420,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3596,3596,0,1404,1404,0.719200,1.000000,0,0,0.000000
76,1.712951,29.060000,2.022582,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2544,2544,0,2456,2456,0.508800,1.000000,0,0,0.000000
77,1.115035,27.310000,2.024798,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3592,3592,0,1408,1408,0.718400,1.000000,0,0,0.000000
78,1.717290,29.230000,2.019016,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2380,2380,0,2620,2620,0.476000,1.000000,0,0,0.000000
79,1.236938,36.170000,1.919621,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3336,3336,0,1664,1664,0.667200,1.000000,0,0,0.000000
80,1.931694,27.410000,2.073634,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,1824,1824,0,3176,3176,0.364800,1.000000,0,0,0.000000
81,1.594842,29.700000,2.035026,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2576,2576,0,2424,2424,0.515200,1.000000,0,0,0.000000
82,1.331004,31.890000,1.975903,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3364,3364,0,1636,1636,0.672800,1.000000,0,0,0.000000
83,1.632691,28.510000,2.049668,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2552,2552,0,2448,2448,0.510400,1.000000,0,0,0.000000
84,1.330991,27.160000,2.062915,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3192,3192,0,1808,1808,0.638400,1.000000,0,0,0.000000
85,1.335062,27.040000,2.023228,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3024,3024,0,1976,1976,0.604800,1.000000,0,0,0.000000
86,1.676668,27.480000,2.048398,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2456,2456,0,2544,2544,0.491200,1.000000,0,0,0.000000
87,1.343458,25.360000,2.055564,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3204,3204,0,1796,1796,0.640800,1.000000,0,0,0.000000
88,1.360676,27.920000,2.010406,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3096,3096,0,1904,1904,0.619200,1.000000,0,0,0.000000
89,1.551094,30.490000,2.022279,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2840,2840,0,2160,2160,0.568000,1.000000,0,0,0.000000
90,1.099670,30.730000,2.013004,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3548,3548,0,1452,1452,0.709600,1.000000,0,0,0.000000
91,1.394792,30.580000,2.016039,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2784,2784,0,2216,2216,0.556800,1.000000,0,0,0.000000
92,1.467893,25.270000,2.096249,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2812,2812,0,2188,2188,0.562400,1.000000,0,0,0.000000
93,1.106806,31.700000,2.024266,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3648,3648,0,1352,1352,0.729600,1.000000,0,0,0.000000
94,1.560927,27.770000,2.028098,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2692,2692,0,2308,2308,0.538400,1.000000,0,0,0.000000
95,0.846229,30.600000,1.962093,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4060,4060,0,940,940,0.812000,1.000000,0,0,0.000000
96,1.042566,31.490000,1.959059,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3888,3888,0,1112,1112,0.777600,1.000000,0,0,0.000000
97,1.812169,32.410000,1.978759,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2108,2108,0,2892,2892,0.421600,1.000000,0,0,0.000000
98,1.253721,29.250000,1.991125,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3424,3424,0,1576,1576,0.684800,1.000000,0,0,0.000000
99,1.071149,29.950000,1.955927,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3648,3648,0,1352,1352,0.729600,1.000000,0,0,0.000000
100,0.547688,33.110000,1.935438,0.000000,0.000000,0.609200,0.000000,0.609200,0.090400,1,3046,0,3046,5000,2611,3124,513,435,948,0.857190,0.835787,0,0,0.000000
