epoch,train_acc,train_loss,test_acc,test_loss,local_train_loss,selected_clients,total_count,actual_round_clean_count,actual_round_noisy_count,fedrn_clean_count,fedrn_noisy_count,train_count,actual_train_clean_count,actual_train_noisy_count,missed_clean_count,false_clean_count,correctly_excluded_noisy_count,actual_round_clean_ratio,fedrn_clean_ratio,fedrn_noisy_ratio,actual_train_clean_ratio,clean_recall,train_ratio
94,55.830000,1.192918,56.490000,1.183519,0.200109,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
95,52.760000,1.301101,54.530000,1.296997,0.122451,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
96,49.580000,1.582079,50.330000,1.608185,0.190053,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
97,55.392000,1.249708,59.250000,1.165053,0.189804,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
98,55.144000,1.230960,50.640000,1.393403,0.227037,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
99,52.424000,1.311933,55.770000,1.246382,0.128370,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
100,60.730000,1.140466,55.220000,1.316235,0.166820,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
101,55.668000,1.239461,55.890000,1.261316,0.208059,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
102,51.174000,1.297385,53.820000,1.262810,0.193651,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
103,57.644000,1.214245,57.020000,1.236691,0.174161,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
104,56.448000,1.278554,53.440000,1.373873,0.176495,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
105,55.906000,1.371115,60.370000,1.234714,0.197851,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
106,58.104000,1.223855,58.590000,1.252228,0.164260,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
107,51.520000,1.367679,54.590000,1.298894,0.115934,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
108,56.998000,1.192154,57.150000,1.219404,0.106250,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
109,57.332000,1.196470,58.700000,1.178593,0.159886,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
110,60.882000,1.107063,54.530000,1.309266,0.204915,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
111,50.638000,1.384554,53.780000,1.276042,0.161013,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
112,47.922000,1.449028,47.580000,1.538420,0.134897,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
113,58.960000,1.151046,56.080000,1.249005,0.155625,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
114,52.882000,1.319573,55.350000,1.303344,0.131863,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
115,50.978000,1.398407,49.050000,1.481971,0.134871,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
116,57.678000,1.182692,59.550000,1.157435,0.229771,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
117,52.742000,1.338652,56.160000,1.232744,0.154358,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
118,54.650000,1.260631,53.600000,1.345596,0.168413,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
119,60.792000,1.095398,59.390000,1.156911,0.111915,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
120,54.920000,1.301270,58.260000,1.209316,0.156303,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
121,45.932000,1.489131,53.730000,1.252540,0.203741,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
122,54.032000,1.369882,53.140000,1.429001,0.160786,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
