epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,net2_holdout_acc,net2_holdout_loss
231,24.990000,3.179448,1.321414,0.724200,-1,-1
232,28.430000,3.133402,1.135620,0.791200,-1,-1
233,22.940000,3.211175,1.048670,0.763800,-1,-1
234,24.300000,3.206177,1.311198,0.790000,-1,-1
235,25.080000,3.195568,1.153461,0.785200,-1,-1
236,24.100000,3.202045,0.969554,0.850200,-1,-1
237,27.590000,3.190447,0.867868,0.848800,-1,-1
238,25.100000,3.200479,1.472676,0.728400,-1,-1
239,26.390000,3.186962,1.075430,0.772600,-1,-1
240,21.570000,3.267572,1.334121,0.657600,-1,-1
241,23.370000,3.345708,0.848960,0.786400,-1,-1
242,29.320000,3.141678,0.801379,0.739400,-1,-1
243,22.500000,3.263935,1.188391,0.758400,-1,-1
244,26.680000,3.215051,0.940239,0.806200,-1,-1
245,26.860000,3.223603,1.096739,0.804800,-1,-1
246,21.480000,3.328625,1.285615,0.734000,-1,-1
247,27.370000,3.260168,0.934930,0.777400,-1,-1
248,29.780000,3.183752,1.078205,0.819800,-1,-1
249,28.720000,3.275530,0.840032,0.746200,-1,-1
250,23.700000,3.262464,1.059707,0.771800,-1,-1
251,27.170000,3.171699,0.895762,0.805200,-1,-1
252,28.440000,3.187378,0.763917,0.749000,-1,-1
253,19.810000,3.444311,1.020263,0.790200,-1,-1
254,30.280000,3.141710,0.873983,0.855600,-1,-1
255,27.830000,3.213763,1.163266,0.829200,-1,-1
256,29.500000,3.223221,1.142889,0.773200,-1,-1
257,29.440000,3.227918,0.896980,0.825800,-1,-1
258,26.200000,3.279106,1.056372,0.711600,-1,-1
259,25.830000,3.277054,1.221757,0.716600,-1,-1
260,22.370000,3.330077,1.041144,0.825600,-1,-1
261,27.470000,3.253303,1.147975,0.790600,-1,-1
262,25.020000,3.339664,1.148839,0.736800,-1,-1
263,26.190000,3.330701,0.967080,0.797800,-1,-1
264,27.720000,3.218170,1.088045,0.739600,-1,-1
265,23.880000,3.293994,0.964176,0.839800,-1,-1
266,28.140000,3.264542,1.067018,0.738000,-1,-1
267,25.060000,3.358710,1.064845,0.805600,-1,-1
268,23.660000,3.276754,1.068026,0.856000,-1,-1
269,26.740000,3.206821,0.956959,0.814600,-1,-1
270,28.060000,3.214353,0.937579,0.823200,-1,-1
271,28.370000,3.216692,0.926791,0.800400,-1,-1
272,24.740000,3.248508,1.100475,0.742400,-1,-1
273,28.840000,3.199473,1.163568,0.796000,-1,-1
274,28.600000,3.199835,0.880909,0.731000,-1,-1
275,28.080000,3.199718,1.076794,0.816000,-1,-1
276,28.520000,3.234199,0.794439,0.752400,-1,-1
277,25.360000,3.245511,1.128943,0.863800,-1,-1
278,25.580000,3.324263,0.851291,0.744000,-1,-1
279,25.960000,3.242926,1.199207,0.804400,-1,-1
280,24.320000,3.255610,0.792593,0.810200,-1,-1
281,25.720000,3.225151,1.199153,0.797000,-1,-1
282,23.470000,3.304648,1.151389,0.769600,-1,-1
283,26.030000,3.282400,0.890231,0.829400,-1,-1
284,28.490000,3.279430,0.980085,0.812400,-1,-1
285,21.790000,3.418755,1.194104,0.738200,-1,-1
286,25.910000,3.300760,1.035129,0.781600,-1,-1
287,26.200000,3.317548,1.029425,0.770400,-1,-1
288,21.200000,3.362553,1.489448,0.815200,-1,-1
289,23.120000,3.326586,1.131237,0.729600,-1,-1
290,25.270000,3.282476,0.773361,0.838400,-1,-1
291,25.100000,3.287719,1.262266,0.788200,-1,-1
292,21.360000,3.360193,1.081124,0.743200,-1,-1
293,24.590000,3.403619,1.001481,0.778800,-1,-1
294,26.160000,3.292139,1.107260,0.823200,-1,-1
