epoch,global_acc,global_loss,selected_clients,net2_avg_acc,best_net2_client,best_net2_acc,best_net2_used,fedrn_clean_ratio,fedrn_precision,fedrn_recall,bestnet2_clean_ratio,bestnet2_precision,bestnet2_recall,final_clean_ratio,final_precision,final_recall,missed_clean,false_clean,net1_train_loss,net2_train_loss
273,30.400000,2.615912,92|26|41|6|57|3|36|74|71|32,69.500000,6,96.000000,1,0.840000,0.674107,0.870484,0.703750,0.788632,0.853190,0.837500,0.674925,0.868947,341,1089,0.938006,0.874291
274,30.370000,2.570021,10|9|77|50|65|5|46|88|39|30,67.300000,9,100.000000,1,0.794500,0.706104,0.842975,0.738500,0.755586,0.838467,0.780750,0.721742,0.846732,408,869,0.771093,0.863980
275,28.260000,2.586403,75|95|16|76|37|33|28|66|81|25,49.000000,33,87.000000,1,0.747500,0.552508,0.718261,0.710000,0.578873,0.714783,0.767250,0.542848,0.724348,634,1403,1.133460,1.041166
276,24.510000,2.698148,58|20|15|89|52|4|98|74|56|62,70.400000,4,92.000000,1,0.914250,0.627290,0.990929,0.678500,0.807664,0.946868,0.894750,0.642079,0.992657,17,1281,1.037711,1.004983
277,28.620000,2.588452,5|2|86|75|71|94|37|56|82|50,60.100000,2,100.000000,1,0.858750,0.558952,0.866035,0.704000,0.680753,0.864682,0.859750,0.560337,0.869193,290,1512,1.101848,1.001345
278,24.870000,2.719688,87|14|47|52|85|92|18|88|32|65,65.200000,14,96.000000,1,0.857750,0.577383,0.922253,0.744750,0.640483,0.888268,0.837000,0.588411,0.917132,178,1378,1.047039,1.098944
279,28.430000,2.623469,46|20|23|0|16|89|26|93|40|85,71.200000,0,100.000000,1,0.827250,0.676337,0.860438,0.731000,0.757866,0.851980,0.827000,0.677751,0.861976,359,1066,0.867452,0.840034
280,27.270000,2.632356,75|19|73|85|58|59|33|60|25|97,65.700000,60,96.000000,1,0.834750,0.560946,0.877283,0.786750,0.581506,0.857143,0.853750,0.549048,0.878220,260,1540,1.189087,1.102416
281,25.420000,2.639722,71|86|15|99|46|66|38|49|62|17,58.700000,46,90.000000,1,0.860250,0.581226,0.890076,0.763250,0.645922,0.877615,0.838500,0.596303,0.890076,247,1354,1.061461,1.019080
282,27.890000,2.626253,4|18|66|45|17|22|77|53|51|10,69.800000,4,91.000000,1,0.831000,0.739471,0.864884,0.660750,0.910708,0.846939,0.816250,0.753752,0.865939,381,804,0.760401,0.738149
283,32.060000,2.507979,70|28|3|27|67|11|94|93|32|30,73.300000,3,97.000000,1,0.873000,0.723368,0.991366,0.721000,0.814840,0.922292,0.864750,0.724776,0.983909,41,952,0.832203,0.877474
284,27.170000,2.707452,46|18|69|33|21|97|89|78|74|2,71.600000,2,100.000000,1,0.871750,0.662461,0.996119,0.734250,0.780729,0.988788,0.871250,0.663702,0.997413,6,1172,0.928658,0.980941
285,24.500000,2.695059,53|75|57|49|79|29|35|12|85|74,63.400000,29,100.000000,1,0.804750,0.612613,0.876055,0.718750,0.678609,0.866726,0.800500,0.615865,0.876055,279,1230,0.958664,1.002506
286,34.930000,2.514737,21|23|18|3|2|10|59|63|42|22,80.400000,2,100.000000,1,0.844000,0.879443,0.938666,0.762000,0.976378,0.940879,0.835500,0.891382,0.941827,184,363,0.420978,0.608470
