epoch,client_id,set_name,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
101,15,scoreA,0,0,0,0,0,170,0,185,0,0
101,15,fedrn,0,0,0,0,0,171,0,185,0,0
101,15,final,0,0,0,0,0,171,0,185,0,0
101,92,scoreA,11,58,18,58,14,22,19,17,14,19
101,92,fedrn,1,55,2,68,4,6,5,0,0,1
101,92,final,1,55,2,68,4,6,5,0,0,1
101,3,scoreA,0,0,0,0,0,0,194,0,188,0
101,3,fedrn,0,0,0,0,0,0,195,0,187,0
101,3,final,0,0,0,0,0,0,195,0,187,0
101,14,scoreA,0,0,0,1,0,170,0,0,0,168
101,14,fedrn,0,0,0,0,0,174,0,0,0,176
101,14,final,0,0,0,0,0,174,0,0,0,176
101,4,scoreA,0,0,0,0,0,0,0,193,183,0
101,4,fedrn,0,0,0,0,0,0,0,195,182,0
101,4,final,0,0,0,0,0,0,0,195,182,0
101,50,scoreA,1,1,105,128,3,3,1,1,2,1
101,50,fedrn,0,0,125,136,0,0,0,0,0,0
101,50,final,0,0,125,136,0,0,0,0,0,0
101,8,scoreA,0,0,0,0,0,0,0,179,187,0
101,8,fedrn,0,0,0,0,0,0,0,183,185,0
101,8,final,0,0,0,0,0,0,0,183,185,0
101,9,scoreA,0,372,0,0,0,0,0,0,0,0
101,9,fedrn,0,372,0,0,0,0,0,0,0,0
101,9,final,0,372,0,0,0,0,0,0,0,0
101,83,scoreA,9,6,67,13,18,12,8,7,14,78
101,83,fedrn,0,0,71,0,6,0,0,0,2,77
101,83,final,0,0,71,0,6,0,0,0,2,77
101,49,scoreA,1,8,109,8,6,9,1,124,3,11
101,49,fedrn,0,0,125,0,0,0,0,124,0,0
101,49,final,0,0,125,0,0,0,0,124,0,0
101,32,scoreA,146,0,0,1,0,0,0,0,1,127
101,32,fedrn,159,0,0,0,0,0,0,0,0,137
101,32,final,159,0,0,0,0,0,0,0,0,137
101,59,scoreA,113,0,0,0,0,0,0,107,0,0
101,59,fedrn,116,0,0,0,0,0,0,99,0,0
101,59,final,116,0,0,0,0,0,0,99,0,0
101,67,scoreA,0,90,0,0,0,0,0,0,103,0
101,67,fedrn,0,93,0,0,0,0,0,0,105,0
101,67,final,0,93,0,0,0,0,0,0,105,0
101,18,scoreA,156,0,0,0,0,0,169,0,0,0
101,18,fedrn,156,0,0,0,0,0,169,0,0,0
101,18,final,156,0,0,0,0,0,169,0,0,0
101,85,scoreA,0,71,0,0,79,11,0,1,0,0
101,85,fedrn,0,68,0,0,79,1,0,0,0,0
101,85,final,0,68,0,0,79,1,0,0,0,0
101,95,scoreA,1,4,1,70,15,12,0,6,1,10
101,95,fedrn,0,0,0,70,0,0,0,0,0,0
101,95,final,0,0,0,70,0,0,0,0,0,0
101,96,scoreA,14,45,20,64,16,28,19,20,15,24
101,96,fedrn,1,32,0,76,5,26,15,11,5,24
101,96,final,1,32,0,76,5,26,15,11,5,24
101,76,scoreA,6,89,7,77,10,18,8,6,8,10
101,76,fedrn,0,89,0,82,0,0,0,0,0,0
101,76,final,0,89,0,82,0,0,0,0,0,0
101,24,scoreA,1,2,3,0,168,136,1,0,0,0
101,24,fedrn,0,0,0,0,173,155,0,0,0,0
101,24,final,0,0,0,0,173,155,0,0,0,0
