epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,scoreA_clean_ratio,scoreA_precision,scoreA_recall,fedrn_clean_ratio,fedrn_precision,fedrn_recall,net2_bootstrap_clean_ratio,net2_bootstrap_precision,net2_bootstrap_recall,selection_precision,selection_recall,false_clean,missed_clean,phase,selected_net2_best_epoch_avg,selected_net2_best_holdout_acc_avg,selected_net2_current_holdout_acc_avg
59,31.130000,1.966230,1.206549,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,29.100000,85.900000,80.600000
60,30.150000,1.984757,1.532637,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,16.700000,81.100000,70.000000
61,31.930000,1.966618,1.227098,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,29.100000,85.800000,78.300000
62,31.930000,1.993399,1.495535,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,27.300000,81.200000,71.600000
63,35.070000,1.940554,1.415485,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,21.500000,82.000000,70.400000
64,29.970000,1.964392,1.152834,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,35.000000,80.000000,75.000000
65,28.760000,2.010224,1.590065,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,34.800000,77.200000,64.000000
66,28.920000,1.988211,1.608734,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,16.200000,80.800000,68.800000
67,30.930000,1.964057,1.435140,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,23.400000,84.700000,77.400000
68,31.780000,1.977130,1.293640,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,22.500000,82.700000,74.300000
69,27.120000,2.052324,1.577645,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,28.100000,75.900000,64.100000
70,34.080000,1.936676,1.321641,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,24.100000,82.200000,75.800000
71,27.220000,2.038886,1.535173,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,20.300000,80.400000,70.000000
72,24.170000,2.072740,1.585793,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,18.500000,75.300000,64.100000
73,32.200000,1.963275,1.429403,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,39.100000,85.900000,73.100000
74,25.290000,2.032518,1.426743,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,21.200000,90.700000,79.300000
75,32.140000,1.953175,1.161443,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,50.600000,88.400000,83.400000
76,31.460000,2.023943,1.702875,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,22.200000,75.800000,63.000000
77,30.330000,2.010026,1.092721,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,38.000000,82.600000,76.600000
78,30.440000,2.009188,1.698486,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,40.600000,76.400000,60.900000
79,32.840000,1.949530,1.218242,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,43.700000,86.700000,77.700000
80,28.700000,2.030186,1.881803,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,28.400000,70.600000,52.300000
81,31.420000,2.045949,1.576168,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,17.800000,78.300000,63.400000
82,30.820000,1.978613,1.297123,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,58.200000,84.000000,74.000000
83,29.560000,2.034052,1.609257,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,20.200000,75.100000,58.500000
84,28.580000,2.020740,1.316420,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,35.800000,87.200000,73.300000
85,27.460000,2.047039,1.313528,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,26.000000,80.800000,70.700000
86,28.460000,2.025179,1.640574,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,34.700000,78.900000,62.800000
87,25.460000,2.074406,1.309413,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,48.300000,84.200000,70.700000
88,29.540000,1.998023,1.342540,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,17.000000,85.200000,69.400000
89,29.120000,1.995615,1.529394,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,32.500000,83.800000,68.800000
90,32.980000,1.981105,1.092715,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,38.200000,87.200000,78.900000
91,28.930000,2.035123,1.369539,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,19.400000,79.200000,60.100000
92,24.130000,2.082626,1.436468,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,38.000000,78.600000,65.700000
93,27.160000,2.025624,1.092083,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,35.500000,80.000000,76.100000
94,27.740000,2.047313,1.538077,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,24.700000,76.200000,61.100000
