epoch,train_loss,global_train_acc,global_train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,clean_ratio,agreement_ratio,selected_total_count,global_train_count,train_ratio,pred_clean_count,pred_noisy_count,true_clean_count,true_noise_count,actual_train_clean_count,actual_train_clean_ratio,clean_recall,missed_clean_count,false_clean_count,true_noise_rejected_count,total_wrong_count,missed_clean_ratio,false_clean_ratio
63,0.986093,31.876000,1.945792,36.510000,1.806820,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4070,930,4070,0.814000,1.000000,0,930,0,930,0.000000,1.000000
64,0.822442,30.344000,1.962847,33.670000,1.818873,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4232,768,4232,0.846400,1.000000,0,768,0,768,0.000000,1.000000
65,1.123275,31.404000,1.988644,36.410000,1.838546,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3846,1154,3846,0.769200,1.000000,0,1154,0,1154,0.000000,1.000000
66,1.112205,31.688000,1.950002,37.490000,1.804823,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3824,1176,3824,0.764800,1.000000,0,1176,0,1176,0.000000,1.000000
67,0.970867,34.688000,1.910234,39.540000,1.777550,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4002,998,4002,0.800400,1.000000,0,998,0,998,0.000000,1.000000
68,0.886755,33.216000,1.933920,38.150000,1.790278,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4166,834,4166,0.833200,1.000000,0,834,0,834,0.000000,1.000000
69,1.113765,26.952000,2.016199,33.000000,1.855382,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3850,1150,3850,0.770000,1.000000,0,1150,0,1150,0.000000,1.000000
70,0.905393,35.860000,1.923097,41.620000,1.775125,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4104,896,4104,0.820800,1.000000,0,896,0,896,0.000000,1.000000
71,1.062198,26.448000,2.020535,31.270000,1.865492,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3912,1088,3912,0.782400,1.000000,0,1088,0,1088,0.000000,1.000000
72,1.131557,28.132000,2.006559,33.500000,1.868314,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3806,1194,3806,0.761200,1.000000,0,1194,0,1194,0.000000,1.000000
73,0.970710,33.976000,1.947859,38.430000,1.823308,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4000,1000,4000,0.800000,1.000000,0,1000,0,1000,0.000000,1.000000
74,0.943370,31.386000,1.971470,34.420000,1.866021,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3990,1010,3990,0.798000,1.000000,0,1010,0,1010,0.000000,1.000000
75,0.791281,34.816000,1.906356,41.550000,1.750358,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4298,702,4298,0.859600,1.000000,0,702,0,702,0.000000,1.000000
76,1.180490,34.038000,1.936486,39.740000,1.817270,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3772,1228,3772,0.754400,1.000000,0,1228,0,1228,0.000000,1.000000
77,0.778344,29.760000,2.011661,34.240000,1.855906,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4296,704,4296,0.859200,1.000000,0,704,0,704,0.000000,1.000000
78,1.190714,28.996000,1.993230,34.400000,1.831874,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3690,1310,3690,0.738000,1.000000,0,1310,0,1310,0.000000,1.000000
79,0.820359,36.012000,1.910508,43.340000,1.749754,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4168,832,4168,0.833600,1.000000,0,832,0,832,0.000000,1.000000
80,1.339109,32.334000,1.972229,37.290000,1.853686,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3412,1588,3412,0.682400,1.000000,0,1588,0,1588,0.000000,1.000000
81,1.105954,31.752000,1.980489,37.180000,1.841533,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3788,1212,3788,0.757600,1.000000,0,1212,0,1212,0.000000,1.000000
82,0.898143,33.362000,1.933148,38.800000,1.797646,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4182,818,4182,0.836400,1.000000,0,818,0,818,0.000000,1.000000
83,1.140493,31.774000,1.974237,37.810000,1.851976,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3776,1224,3776,0.755200,1.000000,0,1224,0,1224,0.000000,1.000000
84,0.902176,26.132000,2.108986,32.260000,1.948266,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4096,904,4096,0.819200,1.000000,0,904,0,904,0.000000,1.000000
85,0.916216,32.420000,1.952967,37.200000,1.825201,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4012,988,4012,0.802400,1.000000,0,988,0,988,0.000000,1.000000
86,1.127263,31.534000,1.966226,36.590000,1.843078,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3728,1272,3728,0.745600,1.000000,0,1272,0,1272,0.000000,1.000000
87,0.913200,29.782000,2.003326,33.250000,1.877750,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4102,898,4102,0.820400,1.000000,0,898,0,898,0.000000,1.000000
88,0.912341,30.812000,1.985450,36.110000,1.831374,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4048,952,4048,0.809600,1.000000,0,952,0,952,0.000000,1.000000
89,1.041618,32.732000,1.960274,37.790000,1.842418,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3920,1080,3920,0.784000,1.000000,0,1080,0,1080,0.000000,1.000000
90,0.743884,33.016000,1.956878,38.130000,1.811787,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4274,726,4274,0.854800,1.000000,0,726,0,726,0.000000,1.000000
91,0.969114,33.802000,1.952027,38.410000,1.830717,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3892,1108,3892,0.778400,1.000000,0,1108,0,1108,0.000000,1.000000
92,1.008136,29.986000,2.033181,32.960000,1.931422,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3906,1094,3906,0.781200,1.000000,0,1094,0,1094,0.000000,1.000000
93,0.774899,30.396000,1.996771,36.960000,1.845572,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4324,676,4324,0.864800,1.000000,0,676,0,676,0.000000,1.000000
94,1.078121,32.930000,1.932543,37.480000,1.813328,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3846,1154,3846,0.769200,1.000000,0,1154,0,1154,0.000000,1.000000
95,0.560136,31.856000,1.974141,36.430000,1.823370,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4530,470,4530,0.906000,1.000000,0,470,0,470,0.000000,1.000000
96,0.694589,31.310000,2.004305,36.150000,1.843360,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4444,556,4444,0.888800,1.000000,0,556,0,556,0.000000,1.000000
97,1.222776,32.644000,1.946158,39.220000,1.819453,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3554,1446,3554,0.710800,1.000000,0,1446,0,1446,0.000000,1.000000
98,0.864985,31.758000,1.956215,35.140000,1.850175,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4212,788,4212,0.842400,1.000000,0,788,0,788,0.000000,1.000000
99,0.704373,31.034000,1.966607,37.590000,1.809269,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4324,676,4324,0.864800,1.000000,0,676,0,676,0.000000,1.000000
100,0.249987,37.492000,1.877363,41.850000,1.716438,0.000000,0.000000,0.744000,0.000000,5000,3720,0.744000,3720,1280,4062,938,3657,0.983065,0.900295,405,63,875,468,0.099705,0.067164
101,0.222668,23.712000,2.269463,28.100000,2.023249,0.000000,0.000000,0.713200,0.000000,5000,3566,0.713200,3566,1434,3832,1168,3534,0.991026,0.922234,298,32,1136,330,0.077766,0.027397
102,0.186105,33.578000,2.089746,37.770000,1.863988,0.000000,0.000000,0.691800,0.000000,5000,3459,0.691800,3459,1541,3766,1234,3424,0.989881,0.909187,342,35,1199,377,0.090813,0.028363
103,0.136681,33.022000,2.131703,36.850000,1.889096,0.000000,0.000000,0.694600,0.000000,5000,3473,0.694600,3473,1527,4246,754,3459,0.995969,0.814649,787,14,740,801,0.185351,0.018568
104,0.179740,30.590000,2.130239,35.540000,1.822796,0.000000,0.000000,0.629800,0.000000,5000,3149,0.629800,3149,1851,3782,1218,3111,0.987933,0.822581,671,38,1180,709,0.177419,0.031199
105,0.198700,33.468000,2.118985,39.860000,1.777108,0.000000,0.000000,0.704000,0.000000,5000,3520,0.704000,3520,1480,3994,1006,3477,0.987784,0.870556,517,43,963,560,0.129444,0.042744
106,0.225393,41.614000,1.946838,45.980000,1.664275,0.000000,0.000000,0.751000,0.000000,5000,3755,0.751000,3755,1245,3908,1092,3721,0.990945,0.952149,187,34,1058,221,0.047851,0.031136
107,0.156871,36.946000,2.205451,45.270000,1.811422,0.000000,0.000000,0.781000,0.000000,5000,3905,0.781000,3905,1095,4028,972,3887,0.995391,0.964995,141,18,954,159,0.035005,0.018519
108,0.151155,36.802000,2.085550,44.750000,1.720290,0.000000,0.000000,0.642000,0.000000,5000,3210,0.642000,3210,1790,3866,1134,3176,0.989408,0.821521,690,34,1100,724,0.178479,0.029982
109,0.134262,38.550000,2.024290,46.170000,1.656375,0.000000,0.000000,0.593000,0.000000,5000,2965,0.593000,2965,2035,3866,1134,2943,0.992580,0.761252,923,22,1112,945,0.238748,0.019400
110,0.192623,41.296000,2.006658,48.230000,1.640265,0.000000,0.000000,0.778000,0.000000,5000,3890,0.778000,3890,1110,4168,832,3867,0.994087,0.927783,301,23,809,324,0.072217,0.027644
111,0.211758,39.292000,2.059462,46.380000,1.687893,0.000000,0.000000,0.661000,0.000000,5000,3305,0.661000,3305,1695,3676,1324,3251,0.983661,0.884385,425,54,1270,479,0.115615,0.040785
112,0.116010,28.866000,2.472091,31.500000,2.156320,0.000000,0.000000,0.707000,0.000000,5000,3535,0.707000,3535,1465,3996,1004,3519,0.995474,0.880631,477,16,988,493,0.119369,0.015936
113,0.193778,37.958000,2.140317,47.540000,1.718672,0.000000,0.000000,0.640000,0.000000,5000,3200,0.640000,3200,1800,3934,1066,3147,0.983437,0.799949,787,53,1013,840,0.200051,0.049719
114,0.146031,38.812000,2.131275,44.300000,1.754394,0.000000,0.000000,0.764200,0.000000,5000,3821,0.764200,3821,1179,4202,798,3796,0.993457,0.903379,406,25,773,431,0.096621,0.031328
115,0.160582,39.788000,2.138639,50.370000,1.641789,0.000000,0.000000,0.801600,0.000000,5000,4008,0.801600,4008,992,4224,776,3999,0.997754,0.946733,225,9,767,234,0.053267,0.011598
116,0.170182,40.712000,2.165716,49.640000,1.748894,0.000000,0.000000,0.707000,0.000000,5000,3535,0.707000,3535,1465,4042,958,3503,0.990948,0.866650,539,32,926,571,0.133350,0.033403
117,0.139860,33.940000,2.384845,44.510000,1.793961,0.000000,0.000000,0.716000,0.000000,5000,3580,0.716000,3580,1420,4060,940,3558,0.993855,0.876355,502,22,918,524,0.123645,0.023404
118,0.169886,30.376000,2.662712,35.190000,2.250412,0.000000,0.000000,0.665400,0.000000,5000,3327,0.665400,3327,1673,3774,1226,3270,0.982867,0.866455,504,57,1169,561,0.133545,0.046493
119,0.198210,39.484000,2.152351,47.530000,1.680801,0.000000,0.000000,0.653400,0.000000,5000,3267,0.653400,3267,1733,3990,1010,3229,0.988369,0.809273,761,38,972,799,0.190727,0.037624
120,0.173205,44.424000,2.042739,51.540000,1.645436,0.000000,0.000000,0.695800,0.000000,5000,3479,0.695800,3479,1521,4018,982,3461,0.994826,0.861374,557,18,964,575,0.138626,0.018330
121,0.149547,43.450000,2.061837,53.110000,1.564707,0.000000,0.000000,0.640400,0.000000,5000,3202,0.640400,3202,1798,3882,1118,3175,0.991568,0.817877,707,27,1091,734,0.182123,0.024150
122,0.199174,29.996000,2.511902,40.070000,1.889756,0.000000,0.000000,0.736600,0.000000,5000,3683,0.736600,3683,1317,4098,902,3642,0.988868,0.888726,456,41,861,497,0.111274,0.045455
123,0.164290,39.820000,2.245302,49.190000,1.700122,0.000000,0.000000,0.640000,0.000000,5000,3200,0.640000,3200,1800,3796,1204,3149,0.984062,0.829557,647,51,1153,698,0.170443,0.042359
