epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
145,0.302677,42.100000,1.559880,0.000000,0.000000,0.678200,0.000000,0.678200,0.408000,0,3391,0,3391,5000,3211,3384,173,180,353,0.946918,0.948877
146,0.640554,36.070000,1.711174,0.000000,0.000000,0.677800,0.018600,0.696400,0.389800,1,3389,93,3482,5000,2855,2876,21,627,648,0.819931,0.992698
147,0.558933,38.420000,1.631630,0.000000,0.000000,0.686800,0.000000,0.686800,0.360400,0,3434,0,3434,5000,3014,3104,90,420,510,0.877694,0.971005
148,0.462640,44.850000,1.504756,0.000000,0.000000,0.612000,0.026400,0.638400,0.384200,1,3060,132,3192,5000,2893,2920,27,299,326,0.906328,0.990753
149,0.631753,46.860000,1.456079,0.000000,0.000000,0.636400,0.000000,0.636400,0.389000,0,3182,0,3182,5000,2623,2700,77,559,636,0.824324,0.971481
150,0.880377,42.750000,1.525272,0.000000,0.000000,0.626400,0.027400,0.653800,0.366200,1,3132,137,3269,5000,2384,2472,88,885,973,0.729275,0.964401
151,0.495110,40.710000,1.580792,0.000000,0.000000,0.623600,0.000000,0.623600,0.387000,0,3118,0,3118,5000,2752,2968,216,366,582,0.882617,0.927224
152,0.367172,40.630000,1.608158,0.000000,0.000000,0.724600,0.021800,0.746400,0.401800,1,3623,109,3732,5000,3550,3612,62,182,244,0.951233,0.982835
153,0.438920,42.950000,1.556108,0.000000,0.000000,0.660000,0.000000,0.660000,0.328400,0,3300,0,3300,5000,2917,3072,155,383,538,0.883939,0.949544
154,0.362233,48.530000,1.413393,0.000000,0.000000,0.637400,0.035600,0.673000,0.369000,1,3187,178,3365,5000,3155,3236,81,210,291,0.937593,0.974969
155,0.760263,47.690000,1.412723,0.000000,0.000000,0.629600,0.000000,0.629600,0.504600,0,3148,0,3148,5000,2405,2476,71,743,814,0.763977,0.971325
156,0.471122,43.590000,1.520035,0.000000,0.000000,0.689800,0.030800,0.720600,0.408000,1,3449,154,3603,5000,3274,3316,42,329,371,0.908687,0.987334
