Experiment Start: 20260616-230210
Args: Namespace(method='default', epochs=500, num_users=100, frac=0.1, local_ep=5, local_bs=50, bs=128, lr=0.01, momentum=0.5, split='user', schedule=[], lr_decay=0.1, weight_decay=0, partition='shard', dd_alpha=0.5, num_shards=200, fed_method='fedavg', model='cnn4conv', dataset='cifar10', iid=False, num_classes=10, num_channels=3, gpu=0, verbose=False, seed=1, all_clients=False, num_workers=4, noise_type_lst=['symmetric'], noise_group_num=[100], group_noise_rate=[0.4], warmup_epochs=100, queue_size=15, forget_rate=0.2, uncertainty_threshold=0.05, alpha=1.2, beta=0.8, labeling='soft', mm_alpha=4, lambda_u=25, T=0.5, p_threshold=0.5, num_neighbors=2, w_alpha=0.5, device=device(type='cuda', index=0), send_2_models=False)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
152,21.570000,2.192133,24.640000,2.119670,1.444362,1046.05
153,23.212000,2.161732,27.590000,2.051429,1.422914,1052.71
154,22.458000,2.179039,26.550000,2.077265,1.404946,1059.37
155,22.134000,2.179487,26.340000,2.065057,1.395984,1065.94
156,22.086000,2.181922,25.430000,2.087901,1.407560,1072.64
157,21.168000,2.203014,24.810000,2.095899,1.441890,1079.38
158,21.312000,2.198332,24.590000,2.119540,1.436046,1086.04
159,21.772000,2.165122,23.890000,2.080693,1.408722,1092.75
160,21.268000,2.204154,23.580000,2.129154,1.400104,1099.43
161,21.300000,2.197753,23.320000,2.143414,1.401798,1106.14
162,22.792000,2.209166,26.990000,2.105208,1.404232,1112.83
163,21.902000,2.198716,24.590000,2.129815,1.401526,1119.59
164,22.302000,2.186366,25.530000,2.099984,1.371607,1126.27
165,23.404000,2.154959,26.250000,2.052838,1.391512,1133.54
166,22.788000,2.172159,24.990000,2.091576,1.434292,1140.15
167,22.638000,2.152969,24.600000,2.077959,1.409213,1146.77
168,22.154000,2.197709,24.500000,2.147409,1.442222,1153.34
169,19.754000,2.220380,20.880000,2.199522,1.416268,1160.07
170,21.164000,2.201806,23.250000,2.130418,1.389959,1166.70
171,21.656000,2.177097,24.120000,2.107005,1.423733,1173.38
