Experiment Start: 20260519-142714
Args: Namespace(T=0.5, all_clients=False, alpha=1.2, beta=0.8, bs=128, dataset='cifar10', dd_alpha=0.5, device=device(type='cuda', index=0), epochs=200, fed_method='fedavg', forget_rate=0.2, frac=0.1, gpu=0, group_noise_rate=[0.0, 0.4], iid=False, labeling='soft', lambda_u=25, local_bs=50, local_ep=5, lr=0.01, lr_decay=0.1, method='fedrn', mm_alpha=4, model='cnn4conv', momentum=0.5, noise_group_num=[100], noise_type_lst=['symmetric'], num_channels=3, num_classes=10, num_neighbors=2, num_shards=200, num_users=100, num_workers=0, p_threshold=0.5, partition='shard', queue_size=15, schedule=[], seed=1, send_2_models=False, split='user', uncertainty_threshold=0.05, verbose=False, w_alpha=0.6, warmup_epochs=100, weight_decay=0)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
60,32.496000,1.965990,38.480000,1.822005,1.049516,1915.63
61,30.052000,1.978874,36.390000,1.822734,0.856336,1946.64
62,35.000000,1.919187,37.060000,1.811354,1.023050,1977.68
63,33.878000,1.915630,39.080000,1.772781,0.978892,2008.95
64,28.552000,1.972457,28.660000,1.848957,0.817035,2039.86
65,31.360000,1.963718,38.640000,1.814486,1.115040,2071.25
66,33.090000,1.926854,41.800000,1.760777,1.108994,2102.04
67,33.772000,1.910794,38.120000,1.773596,0.952919,2132.91
68,34.094000,1.906933,39.390000,1.748029,0.892673,2164.10
69,30.530000,1.961730,37.120000,1.802243,1.112836,2194.98
70,38.152000,1.854346,45.230000,1.683530,0.898670,2225.91
71,27.968000,2.002049,32.550000,1.855169,1.052455,2256.97
72,28.044000,1.998167,34.420000,1.849913,1.113423,2287.85
73,33.904000,1.925368,38.810000,1.801899,0.957231,2318.83
74,32.140000,1.949721,33.980000,1.849072,0.947090,2349.97
75,37.006000,1.867311,43.950000,1.710889,0.792688,2380.98
76,35.038000,1.911656,40.250000,1.781083,1.170091,2412.13
77,31.018000,1.977974,36.030000,1.828881,0.766181,2443.40
78,29.124000,1.990831,35.600000,1.849966,1.200283,2474.63
79,37.100000,1.874237,43.280000,1.703698,0.817830,2509.52
80,33.188000,1.946475,36.450000,1.839290,1.344500,2547.86
81,32.382000,1.966803,37.700000,1.837734,1.105431,2578.86
82,35.752000,1.888289,42.430000,1.735579,0.902995,2610.03
83,32.944000,1.968814,38.220000,1.850228,1.135219,2640.81
84,31.600000,2.011984,38.640000,1.862181,0.897626,2671.89
85,30.860000,1.978546,34.510000,1.856354,0.892309,2707.48
86,33.264000,1.919125,39.360000,1.767674,1.129396,2740.56
87,29.018000,1.995256,32.190000,1.869898,0.915618,2771.79
88,30.656000,1.973953,37.590000,1.786652,0.915905,2803.40
89,30.490000,1.974728,33.110000,1.866373,1.048261,2834.63
90,32.382000,1.984010,36.570000,1.858792,0.734994,2865.53
91,34.418000,1.932551,37.350000,1.820025,0.963508,2897.00
92,28.530000,2.010302,29.530000,1.914549,0.994503,2928.66
93,30.212000,1.992529,37.160000,1.820356,0.772333,2959.65
94,33.860000,1.908628,36.350000,1.796307,1.086743,2991.87
95,33.280000,1.959799,38.050000,1.804716,0.560625,3026.47
96,33.774000,1.977513,38.550000,1.830260,0.693567,3057.77
97,31.976000,1.965708,37.490000,1.846773,1.239599,3088.88
98,32.398000,1.934601,34.760000,1.822002,0.859143,3119.95
99,32.384000,1.979154,39.120000,1.821200,0.700398,3150.80
100,37.888000,1.865914,40.930000,1.721415,0.242502,3185.78
101,35.204000,1.872391,43.430000,1.594185,0.208786,3220.84
102,33.296000,1.999694,37.330000,1.792673,0.257932,3255.52
103,35.836000,1.863705,43.900000,1.569018,0.199344,3291.07
104,33.246000,1.964042,40.440000,1.659796,0.166629,3326.35
105,41.014000,1.776051,49.330000,1.455850,0.139973,3362.14
106,34.804000,1.911308,46.570000,1.479382,0.267617,3397.37
107,32.148000,1.969503,37.220000,1.658993,0.240902,3432.05
108,37.988000,1.868329,42.080000,1.579589,0.204078,3466.82
109,35.746000,1.994039,41.970000,1.574826,0.184381,3502.74
110,40.678000,1.794780,44.550000,1.505454,0.227425,3537.50
111,35.042000,1.965752,40.890000,1.602208,0.188329,3572.24
112,40.744000,1.814084,48.040000,1.472423,0.246357,3607.68
113,25.088000,2.333880,35.770000,1.741774,0.317917,3641.50
114,36.492000,1.952152,42.740000,1.571647,0.222139,3675.91
115,40.802000,1.810953,47.000000,1.442910,0.244270,3711.40
116,41.156000,1.777871,53.490000,1.281923,0.261843,3745.79
117,40.950000,1.941588,46.630000,1.599050,0.194634,3780.32
118,43.906000,1.883741,52.360000,1.478377,0.186432,3815.27
119,45.762000,1.760802,54.130000,1.375945,0.231598,3849.67
120,38.990000,1.917567,46.770000,1.494311,0.302830,3883.99
121,37.166000,2.036615,47.160000,1.489617,0.177661,3918.34
122,38.996000,1.972296,48.030000,1.490095,0.203755,3953.39
123,34.152000,2.114404,39.850000,1.633047,0.177078,3987.16
124,43.064000,1.849354,52.270000,1.379740,0.160967,4021.90
125,35.072000,2.229717,40.560000,1.751305,0.181070,4054.80
126,47.000000,1.709319,57.280000,1.226945,0.152850,4089.42
127,42.332000,1.824656,49.160000,1.413666,0.214084,4123.24
128,45.352000,1.750255,56.570000,1.239877,0.244025,4158.47
129,40.130000,1.873289,53.150000,1.310806,0.225330,4193.45
130,45.692000,1.730652,55.210000,1.249611,0.176509,4228.22
131,45.454000,1.774139,54.600000,1.307285,0.117047,4263.34
132,48.216000,1.692428,55.990000,1.250740,0.142709,4297.82
133,35.800000,2.068049,44.050000,1.552973,0.120408,4332.13
134,39.068000,2.047679,44.780000,1.630344,0.197474,4365.93
135,46.014000,1.815819,56.640000,1.320664,0.222429,4400.48
136,44.212000,1.836984,53.390000,1.345040,0.204113,4435.69
137,44.004000,1.815485,55.680000,1.263380,0.177714,4470.10
138,40.420000,1.987202,48.580000,1.494579,0.197233,4505.62
139,43.158000,1.832207,52.440000,1.289357,0.267682,4540.49
140,39.430000,1.963955,49.800000,1.390318,0.191297,4575.16
141,42.238000,1.914598,51.240000,1.368346,0.154131,4610.65
142,40.368000,1.930924,51.790000,1.324071,0.192365,4644.84
143,38.530000,2.028921,44.800000,1.537073,0.103734,4679.79
144,37.018000,2.195174,45.660000,1.585152,0.218477,4714.61
145,39.300000,2.040695,46.680000,1.479529,0.186236,4749.10
146,44.390000,1.895240,53.320000,1.339782,0.150816,4783.53
147,40.070000,2.016150,49.100000,1.462009,0.135877,4818.23
148,43.058000,1.936801,53.590000,1.320518,0.157378,4852.76
149,42.968000,1.977539,50.770000,1.465454,0.191045,4887.81
150,41.062000,2.002474,44.230000,1.628140,0.165866,4922.77
151,41.324000,1.950821,55.250000,1.264153,0.214026,4956.93
152,29.574000,2.601523,39.560000,1.763877,0.137041,4992.59
153,40.394000,2.008805,45.710000,1.494972,0.162689,5027.88
154,39.702000,2.107821,50.670000,1.420689,0.177798,5062.13
155,40.216000,2.022643,48.270000,1.434163,0.174870,5097.48
156,47.344000,1.842136,56.350000,1.276725,0.185473,5132.24
157,36.564000,2.153184,46.960000,1.519335,0.171133,5166.14
158,47.260000,1.826243,57.080000,1.243133,0.136014,5201.34
159,44.368000,1.896696,54.570000,1.281203,0.182039,5236.73
160,47.192000,1.859953,52.060000,1.401717,0.119075,5271.28
161,44.986000,1.957158,55.960000,1.325785,0.138477,5306.32
162,43.174000,1.989360,50.520000,1.451374,0.173887,5341.12
163,44.924000,1.936701,51.330000,1.440670,0.134094,5376.10
164,46.070000,1.850194,50.610000,1.411605,0.153991,5411.34
165,44.524000,1.905498,54.550000,1.325627,0.100339,5446.68
166,43.204000,1.939309,53.290000,1.384836,0.245038,5481.66
167,45.818000,1.858068,55.060000,1.278805,0.198374,5515.88
168,37.534000,2.239585,48.700000,1.563415,0.099529,5549.70
169,39.934000,2.035891,55.100000,1.236678,0.175824,5584.71
170,44.114000,1.950964,54.220000,1.337934,0.216075,5619.35
171,45.932000,1.883512,51.920000,1.381302,0.104731,5653.17
172,41.558000,2.039201,48.440000,1.520304,0.091636,5688.10
173,39.318000,2.118530,49.060000,1.450471,0.164527,5722.65
