epoch,train_loss,global_test_acc,global_test_loss,correction_apa,correction_loss,core_ratio,recover_clean_ratio,corrected_ratio,net1_train_ratio,correction_trigger,core_count,recover_clean_count,corrected_count,net1_return_count,net1_train_count,net2_train_count,total_count,actual_net1_label_correct_count,actual_round_clean_count,selected_original_clean_count,missed_clean_count,false_train_label_count,correction_correct_count,correction_false_count,persistent_update_count,correction_acc,agg_weight_sum,actual_net1_label_correct_ratio,orig_clean_recall
83,1.426667,32.780000,1.977999,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14560,14560,14560,0,10440,0,0,0,0.000000,25000.000000,0.582400,1.000000
84,1.457157,33.880000,1.961274,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14672,14672,14672,0,10328,0,0,0,0.000000,25000.000000,0.586880,1.000000
85,1.370953,31.720000,1.989748,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15280,15280,15280,0,9720,0,0,0,0.000000,25000.000000,0.611200,1.000000
86,1.469311,31.700000,1.986738,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14536,14536,14536,0,10464,0,0,0,0.000000,25000.000000,0.581440,1.000000
87,1.312970,33.450000,1.959176,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15912,15912,15912,0,9088,0,0,0,0.000000,25000.000000,0.636480,1.000000
88,1.443543,31.570000,1.994054,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14680,14680,14680,0,10320,0,0,0,0.000000,25000.000000,0.587200,1.000000
89,1.387652,32.770000,1.972131,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15192,15192,15192,0,9808,0,0,0,0.000000,25000.000000,0.607680,1.000000
90,1.338683,31.350000,1.981923,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15668,15668,15668,0,9332,0,0,0,0.000000,25000.000000,0.626720,1.000000
91,1.372670,31.080000,1.994436,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15144,15144,15144,0,9856,0,0,0,0.000000,25000.000000,0.605760,1.000000
92,1.485428,29.960000,2.005579,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,13992,13992,13992,0,11008,0,0,0,0.000000,25000.000000,0.559680,1.000000
93,1.292045,32.770000,1.975426,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15912,15912,15912,0,9088,0,0,0,0.000000,25000.000000,0.636480,1.000000
94,1.469366,31.280000,1.992577,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14112,14112,14112,0,10888,0,0,0,0.000000,25000.000000,0.564480,1.000000
95,1.273725,32.010000,1.976367,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,16224,16224,16224,0,8776,0,0,0,0.000000,25000.000000,0.648960,1.000000
96,1.414674,33.090000,1.971076,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14520,14520,14520,0,10480,0,0,0,0.000000,25000.000000,0.580800,1.000000
97,1.474925,31.050000,1.997263,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,13948,13948,13948,0,11052,0,0,0,0.000000,25000.000000,0.557920,1.000000
98,1.364305,30.730000,1.997765,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15268,15268,15268,0,9732,0,0,0,0.000000,25000.000000,0.610720,1.000000
99,1.409727,32.100000,1.993064,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14816,14816,14816,0,10184,0,0,0,0.000000,25000.000000,0.592640,1.000000
100,0.485650,37.020000,1.847232,0.000000,0.000000,0.645800,0.000000,0.000000,0.645800,1,16145,0,0,0,16145,16145,25000,14858,15516,14858,658,1287,0,0,0,0.000000,25000.000000,0.920285,0.957592
101,0.532754,39.860000,1.742377,0.000000,0.000000,0.632280,0.000000,0.000000,0.632280,0,15807,0,0,0,15807,15807,25000,14180,15560,14180,1380,1627,0,0,0,0.000000,25000.000000,0.897071,0.911311
